,action_type,combined_shot_type,game_event_id,lat,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb
69,Jump Shot,Jump Shot,267,33.8163,-118.1738,6,3,0,2000-01,37,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/6/2000,Away,GSW,440,14931,67,93.95
70,Jump Shot,Jump Shot,2,33.9113,-118.3558,11,1,0,2000-01,43,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,12/8/2000,Home,SEA,456,15402,66,96.36
71,Jump Shot,Jump Shot,55,34.0103,-118.2098,6,1,0,2000-01,24,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/8/2000,Home,SEA,459,15402,66,96.36
72,Jump Shot,Jump Shot,283,33.8733,-118.1528,7,3,0,2000-01,35,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/8/2000,Home,SEA,472,15402,66,96.36
73,Jump Shot,Jump Shot,477,34.0403,-118.3708,1,4,0,2000-01,43,10,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,12/8/2000,Home,SEA,480,15402,66,96.36
74,Jump Shot,Jump Shot,226,33.8183,-118.1168,1,2,0,2000-01,19,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/10/2000,Home,DET,491,14703,71,96.15
75,Jump Shot,Jump Shot,302,33.9173,-118.1828,5,3,0,2000-01,16,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/10/2000,Home,DET,497,14703,71,96.15
76,Jump Shot,Jump Shot,106,33.7873,-118.2378,2,1,0,2000-01,33,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,12/12/2000,Home,MIL,509,14806,68,93.75
77,Jump Shot,Jump Shot,120,33.8523,-118.0898,0,1,0,2000-01,44,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/12/2000,Home,MIL,511,14806,68,93.75
78,Jump Shot,Jump Shot,365,33.9383,-118.2858,0,3,0,2000-01,0,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,12/12/2000,Home,MIL,523,14806,68,93.75
79,Jump Shot,Jump Shot,27,33.9363,-118.1088,8,1,0,2000-01,53,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/13/2000,Away,POR,533,15316,74,95.93
80,Layup Shot,Layup,228,34.0443,-118.2698,1,2,0,2000-01,11,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/13/2000,Away,POR,544,15316,74,95.93
81,Jump Shot,Jump Shot,275,34.0403,-118.0438,8,3,0,2000-01,36,22,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,12/13/2000,Away,POR,546,15316,74,95.93
82,Driving Layup Shot,Layup,453,34.0443,-118.2698,0,4,0,2000-01,47,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/13/2000,Away,POR,555,15316,74,95.93
83,Jump Shot,Jump Shot,3,33.7913,-118.2248,11,1,0,2000-01,18,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,12/15/2000,Home,VAN,558,16092,68,96.38
84,Jump Shot,Jump Shot,29,33.9663,-118.4128,7,1,0,2000-01,17,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/15/2000,Home,VAN,560,16092,68,96.38
85,Jump Shot,Jump Shot,282,34.0103,-118.4188,6,3,0,2000-01,30,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,12/15/2000,Home,VAN,573,16092,68,96.38
86,Jump Shot,Jump Shot,371,33.8563,-118.1468,2,3,0,2000-01,26,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/17/2000,Away,TOR,591,15173,69,95.34
87,Jump Shot,Jump Shot,439,33.9453,-118.2738,8,4,0,2000-01,13,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,12/17/2000,Away,TOR,596,15173,69,95.34
88,Jump Shot,Jump Shot,460,33.8673,-118.4038,6,4,0,2000-01,14,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,12/17/2000,Away,TOR,597,15173,69,95.34
89,Turnaround Jump Shot,Jump Shot,515,33.9723,-118.3178,0,4,0,2000-01,48,8,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,12/17/2000,Away,TOR,601,15173,69,95.34
90,Jump Shot,Jump Shot,24,33.8793,-118.1598,8,1,0,2000-01,39,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/19/2000,Away,MIA,605,16076,69,98.6
91,Jump Shot,Jump Shot,219,34.0443,-118.1448,10,3,0,2000-01,33,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/19/2000,Away,MIA,617,16076,69,98.6
92,Jump Shot,Jump Shot,420,34.0443,-118.4358,0,4,0,2000-01,18,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/19/2000,Away,MIA,628,16076,69,98.6
93,Jump Shot,Jump Shot,68,33.9663,-118.1108,3,1,0,2000-01,43,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/21/2000,Away,HOU,634,15086,70,95.42
94,Jump Shot,Jump Shot,327,34.0213,-118.2138,3,3,0,2000-01,20,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/21/2000,Away,HOU,646,15086,70,95.42
95,Jump Shot,Jump Shot,378,33.9113,-118.1638,9,4,0,2000-01,44,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/21/2000,Away,HOU,649,15086,70,95.42
96,Driving Layup Shot,Layup,402,34.0443,-118.2698,6,4,0,2000-01,16,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/21/2000,Away,HOU,651,15086,70,95.42
97,Dunk Shot,Dunk,472,34.0443,-118.2698,0,4,0,2000-01,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/21/2000,Away,HOU,654,15086,70,95.42
98,Layup Shot,Layup,6,34.0443,-118.2698,11,1,0,2000-01,6,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/22/2000,Away,DAL,656,15513,71,91.56
99,Jump Shot,Jump Shot,10,33.9073,-118.2668,10,1,0,2000-01,47,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,12/22/2000,Away,DAL,657,15513,71,91.56
100,Jump Shot,Jump Shot,275,33.9513,-118.1028,9,3,0,2000-01,1,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/22/2000,Away,DAL,669,15513,71,91.56
101,Alley Oop Dunk Shot,Dunk,296,34.0443,-118.2698,5,3,0,2000-01,51,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/22/2000,Away,DAL,670,15513,71,91.56
102,Turnaround Jump Shot,Jump Shot,474,33.9893,-118.3138,1,4,0,2000-01,49,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/25/2000,Home,POR,693,16544,71,95.52
103,Jump Shot,Jump Shot,476,33.9453,-118.3408,1,4,0,2000-01,22,12,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,12/25/2000,Home,POR,694,16544,71,95.52
104,Jump Shot,Jump Shot,49,33.8753,-118.2968,4,1,0,2000-01,30,17,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/28/2000,Away,PHX,699,16957,70,96.65
105,Jump Shot,Jump Shot,284,33.9473,-118.1028,6,3,0,2000-01,7,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/28/2000,Away,PHX,711,16957,70,96.65
106,Jump Shot,Jump Shot,45,33.9833,-118.1258,5,1,0,2000-01,53,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/30/2000,Away,LAC,718,12695,71,95.41
107,Jump Shot,Jump Shot,109,34.0443,-118.1168,10,2,0,2000-01,30,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/30/2000,Away,LAC,722,12695,71,95.41
108,Jump Shot,Jump Shot,126,33.8563,-118.4608,8,2,0,2000-01,55,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,12/30/2000,Away,LAC,723,12695,71,95.41
109,Turnaround Jump Shot,Jump Shot,156,33.9623,-118.2538,5,2,0,2000-01,33,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,12/30/2000,Away,LAC,725,12695,71,95.41
110,Jump Shot,Jump Shot,41,33.9833,-118.1168,7,1,0,2000-01,5,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/3/2001,Home,UTA,734,13759,72,91.05
111,Layup Shot,Layup,53,34.0443,-118.2698,6,1,0,2000-01,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1/3/2001,Home,UTA,735,13759,72,91.05
112,Running Jump Shot,Jump Shot,95,34.0043,-118.3138,0,1,0,2000-01,53,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1/3/2001,Home,UTA,737,13759,72,91.05
113,Jump Shot,Jump Shot,235,34.0273,-118.1108,9,3,0,2000-01,46,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1/3/2001,Home,UTA,746,13759,72,91.05
114,Turnaround Jump Shot,Jump Shot,269,33.9453,-118.1108,5,3,0,2000-01,27,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/3/2001,Home,UTA,747,13759,72,91.05
115,Jump Shot,Jump Shot,180,33.7743,-118.2588,5,2,0,2000-01,49,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1/7/2001,Home,LAC,766,14654,73,94.14
116,Jump Shot,Jump Shot,182,34.0313,-118.4458,5,2,0,2000-01,37,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1/7/2001,Home,LAC,767,14654,73,94.14
117,Jump Shot,Jump Shot,241,34.0313,-118.4058,0,2,0,2000-01,25,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1/7/2001,Home,LAC,771,14654,73,94.14
118,Jump Shot,Jump Shot,251,34.0313,-118.3408,11,3,0,2000-01,20,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1/7/2001,Home,LAC,773,14654,73,94.14
119,Jump Shot,Jump Shot,272,33.8693,-118.2708,8,3,0,2000-01,45,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1/7/2001,Home,LAC,774,14654,73,94.14
120,Jump Shot,Jump Shot,120,33.9723,-118.2798,10,2,0,2000-01,12,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1/12/2001,Home,CLE,783,14111,71,94.56
121,Jump Shot,Jump Shot,174,33.8463,-118.4188,4,2,0,2000-01,29,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/12/2001,Home,CLE,784,14111,71,94.56
122,Jump Shot,Jump Shot,244,34.0163,-118.4338,8,3,0,2000-01,31,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1/12/2001,Home,CLE,789,14111,71,94.56
123,Jump Shot,Jump Shot,305,33.8733,-118.0838,2,3,0,2000-01,22,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1/12/2001,Home,CLE,792,14111,71,94.56
124,Jump Shot,Jump Shot,470,33.8693,-118.4338,0,4,0,2000-01,59,23,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/12/2001,Home,CLE,804,14111,71,94.56
125,Jump Shot,Jump Shot,144,34.0593,-118.0938,7,2,0,2000-01,10,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/13/2001,Away,UTA,809,13957,70,96.41
126,Jump Shot,Jump Shot,195,34.0763,-118.4568,0,2,0,2000-01,45,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1/13/2001,Away,UTA,812,13957,70,96.41
127,Jump Shot,Jump Shot,198,33.9033,-118.0728,0,2,0,2000-01,21,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1/13/2001,Away,UTA,813,13957,70,96.41
128,Jump Shot,Jump Shot,247,34.0443,-118.1998,8,3,0,2000-01,59,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1/13/2001,Away,UTA,817,13957,70,96.41
129,Jump Shot,Jump Shot,307,34.0313,-118.1088,3,3,0,2000-01,53,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/13/2001,Away,UTA,820,13957,70,96.41
130,Jump Shot,Jump Shot,442,33.9033,-118.4268,3,4,0,2000-01,1,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1/13/2001,Away,UTA,825,13957,70,96.41
131,Jump Shot,Jump Shot,457,33.8963,-118.1258,2,4,0,2000-01,23,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1/13/2001,Away,UTA,826,13957,70,96.41
132,Jump Shot,Jump Shot,6,33.9623,-118.0388,10,1,0,2000-01,55,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1/15/2001,Home,VAN,829,15235,68,95.65
