rannum,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb
66,Jump Shot,Jump Shot,397,20000049,33.9533,-10,91,-118.2798,10,4,0,2000-01,13,9,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,66,16092,70,95.2
80,Jump Shot,Jump Shot,22,20000058,34.0083,-119,36,-118.3888,9,1,0,2000-01,6,12,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,67,16025,70,92.22
81,Jump Shot,Jump Shot,55,20000058,33.9343,159,110,-118.1108,5,1,0,2000-01,15,19,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,71,16025,70,92.22
82,Jump Shot,Jump Shot,313,20000058,33.9973,58,47,-118.2118,11,4,0,2000-01,49,7,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,80,16025,70,92.22
109,Jump Shot,Jump Shot,20,20000068,33.9743,-29,70,-118.2988,9,1,0,2000-01,48,7,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,85,13750,68,93.33
110,Turnaround Jump Shot,Jump Shot,33,20000068,33.9953,-124,49,-118.3938,7,1,0,2000-01,26,13,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,86,13750,68,93.33
111,Turnaround Jump Shot,Jump Shot,180,20000068,34.0403,132,4,-118.1378,4,2,0,2000-01,25,13,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,95,13750,68,93.33
112,Jump Shot,Jump Shot,286,20000068,33.9073,-101,137,-118.3708,4,3,0,2000-01,16,17,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,104,13750,68,93.33
113,Jump Shot,Jump Shot,418,20000068,33.8943,-151,150,-118.4208,0,4,0,2000-01,43,21,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,113,13750,68,93.33
139,Jump Shot,Jump Shot,217,20000098,33.9913,-155,53,-118.4248,2,2,0,2000-01,40,16,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,123,15229,71,95.42
140,Running Jump Shot,Jump Shot,261,20000098,33.9113,-96,133,-118.3658,9,3,0,2000-01,59,16,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,126,15229,71,95.42
141,Reverse Layup Shot,Layup,327,20000098,34.0443,0,0,-118.2698,2,3,0,2000-01,56,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,133,15229,71,95.42
142,Jump Shot,Jump Shot,492,20000098,34.0083,45,36,-118.2248,1,4,0,2000-01,5,5,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,141,15229,71,95.42
159,Jump Shot,Jump Shot,55,20000108,34.0333,237,11,-118.0328,4,1,0,2000-01,52,23,NA,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,144,14773,71,91.64
160,Driving Layup Shot,Layup,120,20000108,34.0443,0,0,-118.2698,10,2,0,2000-01,5,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,150,14773,71,91.64
161,Jump Shot,Jump Shot,179,20000108,33.8753,7,169,-118.2628,4,2,0,2000-01,14,16,NA,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,152,14773,71,91.64
162,Driving Layup Shot,Layup,186,20000108,34.0443,0,0,-118.2698,3,2,0,2000-01,22,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,153,14773,71,91.64
163,Tip Shot,Tip Shot,220,20000108,34.0443,0,0,-118.2698,0,2,0,2000-01,26,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,156,14773,71,91.64
164,Reverse Dunk Shot,Dunk,318,20000108,34.0443,0,0,-118.2698,3,3,0,2000-01,53,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,159,14773,71,91.64
165,Dunk Shot,Dunk,418,20000108,34.0443,0,0,-118.2698,5,4,0,2000-01,32,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,165,14773,71,91.64
187,Jump Shot,Jump Shot,77,20000124,33.8503,70,194,-118.1998,1,1,0,2000-01,36,20,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,172,13184,67,93.81
188,Alley Oop Dunk Shot,Dunk,328,20000124,34.0443,0,0,-118.2698,11,4,0,2000-01,44,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,182,13184,67,93.81
208,Jump Shot,Jump Shot,54,20000140,34.0503,174,-6,-118.0958,6,1,0,2000-01,24,17,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,192,16017,69,98.64
209,Driving Layup Shot,Layup,57,20000140,34.0443,0,0,-118.2698,6,1,0,2000-01,2,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,193,16017,69,98.64
210,Jump Shot,Jump Shot,100,20000140,34.0403,153,4,-118.1168,0,1,0,2000-01,18,15,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,196,16017,69,98.64
211,Jump Shot,Jump Shot,256,20000140,33.9783,-162,66,-118.4318,10,3,0,2000-01,5,17,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,202,16017,69,98.64
212,Jump Shot,Jump Shot,411,20000140,33.8883,-214,156,-118.4838,5,4,0,2000-01,19,26,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,210,16017,69,98.64
213,Jump Shot,Jump Shot,425,20000140,33.9073,-149,137,-118.4188,3,4,0,2000-01,38,20,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,211,16017,69,98.64
235,Driving Dunk Shot,Dunk,322,20000147,34.0443,0,0,-118.2698,0,3,0,2000-01,4,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/19/2000,LAL vs. CHI,CHI,228,15396,70,93.19
271,Jump Shot,Jump Shot,56,20000180,33.8903,106,154,-118.1638,6,1,0,2000-01,22,18,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,257,15954,71,95.3
272,Jump Shot,Jump Shot,86,20000180,33.8903,106,154,-118.1638,3,1,0,2000-01,25,18,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,260,15954,71,95.3
273,Jump Shot,Jump Shot,256,20000180,33.9073,115,137,-118.1548,9,3,0,2000-01,18,17,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,264,15954,71,95.3
274,Turnaround Jump Shot,Jump Shot,308,20000180,34.0633,-141,-19,-118.4108,3,3,0,2000-01,12,14,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,267,15954,71,95.3
291,Alley Oop Dunk Shot,Dunk,62,20000198,34.0443,0,0,-118.2698,5,1,0,2000-01,17,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,279,16833,72,97.43
292,Jump Shot,Jump Shot,207,20000198,33.9033,98,141,-118.1718,2,2,0,2000-01,38,17,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,282,16833,72,97.43
293,Jump Shot,Jump Shot,374,20000198,33.9283,51,116,-118.2188,10,4,0,2000-01,39,12,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,293,16833,72,97.43
314,Running Jump Shot,Jump Shot,171,20000206,33.9383,-65,106,-118.3348,8,2,0,2000-01,11,12,NA,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,299,16489,71,94
315,Turnaround Jump Shot,Jump Shot,203,20000206,33.9383,-115,106,-118.3848,6,2,0,2000-01,11,15,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,300,16489,71,94
316,Running Jump Shot,Jump Shot,205,20000206,33.9893,-86,55,-118.3558,5,2,0,2000-01,47,10,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,301,16489,71,94
317,Jump Shot,Jump Shot,439,20000206,33.8273,-117,217,-118.3868,9,4,0,2000-01,23,24,NA,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,317,16489,71,94
332,Jump Shot,Jump Shot,243,20000222,33.8603,167,184,-118.1028,0,2,0,2000-01,28,24,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/30/2000,LAL @ SEA,SEA,327,14290,71,92.8
333,Jump Shot,Jump Shot,254,20000222,34.0253,129,19,-118.1408,10,3,0,2000-01,59,13,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/30/2000,LAL @ SEA,SEA,328,14290,71,92.8
362,Layup Shot,Layup,36,20000230,34.0443,0,0,-118.2698,8,1,0,2000-01,14,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/1/2000,LAL vs. SAS,SAS,335,14925,70,93.42
363,Running Jump Shot,Jump Shot,208,20000230,33.9893,-16,55,-118.2858,3,2,0,2000-01,14,5,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/1/2000,LAL vs. SAS,SAS,346,14925,70,93.42
364,Jump Shot,Jump Shot,267,20000230,33.9763,26,68,-118.2438,10,3,0,2000-01,15,7,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/1/2000,LAL vs. SAS,SAS,348,14925,70,93.42
389,Jump Shot,Jump Shot,4,20000246,33.8633,-16,181,-118.2858,11,1,0,2000-01,18,18,NA,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,365,16383,70,100.43
390,Driving Layup Shot,Layup,428,20000246,34.0443,0,0,-118.2698,4,4,0,2000-01,16,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,390,16383,70,100.43
391,Driving Layup Shot,Layup,466,20000246,34.0443,0,0,-118.2698,1,4,0,2000-01,14,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,391,16383,70,100.43
392,Running Jump Shot,Jump Shot,473,20000246,34.0333,-73,11,-118.3428,0,4,0,2000-01,41,7,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/3/2000,LAL vs. DAL,DAL,392,16383,70,100.43
419,Jump Shot,Jump Shot,99,20000258,33.7973,117,247,-118.1528,1,1,0,2000-01,27,27,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/5/2000,LAL vs. PHI,PHI,397,15437,72,91.39
420,Jump Shot,Jump Shot,439,20000258,33.8633,153,181,-118.1168,4,4,0,2000-01,16,23,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/5/2000,LAL vs. PHI,PHI,418,15437,72,91.39
452,Jump Shot,Jump Shot,106,20000267,34.0443,-147,0,-118.4168,0,1,0,2000-01,0,14,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,428,14931,67,93.95
453,Turnaround Jump Shot,Jump Shot,201,20000267,33.9783,-60,66,-118.3298,0,2,0,2000-01,33,8,NA,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,434,14931,67,93.95
454,Layup Shot,Layup,250,20000267,34.0443,0,0,-118.2698,8,3,0,2000-01,25,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,439,14931,67,93.95
455,Jump Shot,Jump Shot,267,20000267,33.8163,96,228,-118.1738,6,3,0,2000-01,37,24,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/6/2000,LAL @ GSW,GSW,440,14931,67,93.95
477,Jump Shot,Jump Shot,2,20000280,33.9113,-86,133,-118.3558,11,1,0,2000-01,43,15,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,456,15402,66,96.36
478,Jump Shot,Jump Shot,55,20000280,34.0103,60,34,-118.2098,6,1,0,2000-01,24,6,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,459,15402,66,96.36
479,Jump Shot,Jump Shot,283,20000280,33.8733,117,171,-118.1528,7,3,0,2000-01,35,20,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,472,15402,66,96.36
480,Jump Shot,Jump Shot,477,20000280,34.0403,-101,4,-118.3708,1,4,0,2000-01,43,10,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/8/2000,LAL vs. SEA,SEA,480,15402,66,96.36
500,Jump Shot,Jump Shot,226,20000297,33.8183,153,226,-118.1168,1,2,0,2000-01,19,27,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/10/2000,LAL vs. DET,DET,491,14703,71,96.15
501,Jump Shot,Jump Shot,302,20000297,33.9173,87,127,-118.1828,5,3,0,2000-01,16,15,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/10/2000,LAL vs. DET,DET,497,14703,71,96.15
530,Jump Shot,Jump Shot,106,20000309,33.7873,32,257,-118.2378,2,1,0,2000-01,33,25,NA,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,509,14806,68,93.75
531,Jump Shot,Jump Shot,120,20000309,33.8523,180,192,-118.0898,0,1,0,2000-01,44,26,NA,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,511,14806,68,93.75
532,Jump Shot,Jump Shot,365,20000309,33.9383,-16,106,-118.2858,0,3,0,2000-01,0,10,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,523,14806,68,93.75
554,Jump Shot,Jump Shot,27,20000320,33.9363,161,108,-118.1088,8,1,0,2000-01,53,19,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,533,15316,74,95.93
555,Layup Shot,Layup,228,20000320,34.0443,0,0,-118.2698,1,2,0,2000-01,11,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,544,15316,74,95.93
556,Jump Shot,Jump Shot,275,20000320,34.0403,226,4,-118.0438,8,3,0,2000-01,36,22,NA,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,546,15316,74,95.93
557,Driving Layup Shot,Layup,453,20000320,34.0443,0,0,-118.2698,0,4,0,2000-01,47,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,555,15316,74,95.93
573,Jump Shot,Jump Shot,3,20000334,33.7913,45,253,-118.2248,11,1,0,2000-01,18,25,NA,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/15/2000,LAL vs. VAN,VAN,558,16092,68,96.38
574,Jump Shot,Jump Shot,29,20000334,33.9663,-143,78,-118.4128,7,1,0,2000-01,17,16,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/15/2000,LAL vs. VAN,VAN,560,16092,68,96.38
575,Jump Shot,Jump Shot,282,20000334,34.0103,-149,34,-118.4188,6,3,0,2000-01,30,15,NA,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/15/2000,LAL vs. VAN,VAN,573,16092,68,96.38
601,Jump Shot,Jump Shot,371,20000347,33.8563,123,188,-118.1468,2,3,0,2000-01,26,22,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/17/2000,LAL @ TOR,TOR,591,15173,69,95.34
602,Jump Shot,Jump Shot,439,20000347,33.9453,-4,99,-118.2738,8,4,0,2000-01,13,9,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/17/2000,LAL @ TOR,TOR,596,15173,69,95.34
603,Jump Shot,Jump Shot,460,20000347,33.8673,-134,177,-118.4038,6,4,0,2000-01,14,22,NA,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/17/2000,LAL @ TOR,TOR,597,15173,69,95.34
604,Turnaround Jump Shot,Jump Shot,515,20000347,33.9723,-48,72,-118.3178,0,4,0,2000-01,48,8,NA,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/17/2000,LAL @ TOR,TOR,601,15173,69,95.34
626,Jump Shot,Jump Shot,24,20000352,33.8793,110,165,-118.1598,8,1,0,2000-01,39,19,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/19/2000,LAL @ MIA,MIA,605,16076,69,98.6
627,Jump Shot,Jump Shot,219,20000352,34.0443,125,0,-118.1448,10,3,0,2000-01,33,12,NA,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/19/2000,LAL @ MIA,MIA,617,16076,69,98.6
628,Jump Shot,Jump Shot,420,20000352,34.0443,-166,0,-118.4358,0,4,0,2000-01,18,16,NA,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/19/2000,LAL @ MIA,MIA,628,16076,69,98.6
650,Jump Shot,Jump Shot,68,20000373,33.9663,159,78,-118.1108,3,1,0,2000-01,43,17,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/21/2000,LAL @ HOU,HOU,634,15086,70,95.42
651,Jump Shot,Jump Shot,327,20000373,34.0213,56,23,-118.2138,3,3,0,2000-01,20,6,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/21/2000,LAL @ HOU,HOU,646,15086,70,95.42
652,Jump Shot,Jump Shot,378,20000373,33.9113,106,133,-118.1638,9,4,0,2000-01,44,17,NA,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/21/2000,LAL @ HOU,HOU,649,15086,70,95.42
653,Driving Layup Shot,Layup,402,20000373,34.0443,0,0,-118.2698,6,4,0,2000-01,16,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/21/2000,LAL @ HOU,HOU,651,15086,70,95.42
654,Dunk Shot,Dunk,472,20000373,34.0443,0,0,-118.2698,0,4,0,2000-01,11,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/21/2000,LAL @ HOU,HOU,654,15086,70,95.42
671,Layup Shot,Layup,6,20000379,34.0443,0,0,-118.2698,11,1,0,2000-01,6,0,NA,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/22/2000,LAL @ DAL,DAL,656,15513,71,91.56
672,Jump Shot,Jump Shot,10,20000379,33.9073,3,137,-118.2668,10,1,0,2000-01,47,13,NA,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/22/2000,LAL @ DAL,DAL,657,15513,71,91.56
673,Jump Shot,Jump Shot,275,20000379,33.9513,167,93,-118.1028,9,3,0,2000-01,1,19,NA,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/22/2000,LAL @ DAL,DAL,669,15513,71,91.56
